step,mode,current_altitude_ft,selected_altitude_ft,target_speed_kts,cmd_mode,cmd_vs_fpm,cmd_speed_kts,distance_to_next_nm
0,CLIMB,0,10000,280,CLIMB,1500,280,683.891
1,CLIMB,25,10000,280,CLIMB,1500,280,682.153
2,CLIMB,50,10000,280,CLIMB,1500,280,680.415
3,CLIMB,75,10000,280,CLIMB,1500,280,678.677
4,CLIMB,100,10000,280,CLIMB,1500,280,676.939
5,CLIMB,125,10000,280,CLIMB,1500,280,675.201
6,CLIMB,150,10000,280,CLIMB,1500,280,673.463
7,CLIMB,175,10000,280,CLIMB,1500,280,671.725
8,CLIMB,200,10000,280,CLIMB,1500,280,669.987
9,CLIMB,225,10000,280,CLIMB,1500,280,668.249
10,CLIMB,250,10000,280,CLIMB,1500,280,666.512
11,CLIMB,275,10000,280,CLIMB,1500,280,664.774
12,CLIMB,300,10000,280,CLIMB,1500,280,663.036
13,CLIMB,325,10000,280,CLIMB,1500,280,661.298
14,CLIMB,350,10000,280,CLIMB,1500,280,659.56
15,CLIMB,375,10000,280,CLIMB,1500,280,657.822
16,CLIMB,400,10000,280,CLIMB,1500,280,656.084
17,CLIMB,425,10000,280,CLIMB,1500,280,654.346
18,CLIMB,450,10000,280,CLIMB,1500,280,652.608
19,CLIMB,475,10000,280,CLIMB,1500,280,650.87
20,CLIMB,500,10000,280,CLIMB,1500,280,649.132
21,CLIMB,525,10000,280,CLIMB,1500,280,647.394
22,CLIMB,550,10000,280,CLIMB,1500,280,645.656
23,CLIMB,575,10000,280,CLIMB,1500,280,643.918
24,CLIMB,600,10000,280,CLIMB,1500,280,642.18
25,CLIMB,625,10000,280,CLIMB,1500,280,640.442
26,CLIMB,650,10000,280,CLIMB,1500,280,638.704
27,CLIMB,675,10000,280,CLIMB,1500,280,636.966
28,CLIMB,700,10000,280,CLIMB,1500,280,635.228
29,CLIMB,725,10000,280,CLIMB,1500,280,633.49
30,CLIMB,750,10000,280,CLIMB,1500,280,631.752
31,CLIMB,775,10000,280,CLIMB,1500,280,630.015
32,CLIMB,800,10000,280,CLIMB,1500,280,628.277
33,CLIMB,825,10000,280,CLIMB,1500,280,626.539
34,CLIMB,850,10000,280,CLIMB,1500,280,624.801
35,CLIMB,875,10000,280,CLIMB,1500,280,623.063
36,CLIMB,900,10000,280,CLIMB,1500,280,621.325
37,CLIMB,925,10000,280,CLIMB,1500,280,619.587
38,CLIMB,950,10000,280,CLIMB,1500,280,617.849
39,CLIMB,975,10000,280,CLIMB,1500,280,616.111
40,CLIMB,1000,10000,280,CLIMB,1500,280,614.373
41,CLIMB,1025,10000,280,CLIMB,1500,280,612.635
42,CLIMB,1050,10000,280,CLIMB,1500,280,610.897
43,CLIMB,1075,10000,280,CLIMB,1500,280,609.159
44,CLIMB,1100,10000,280,CLIMB,1500,280,607.421
45,CLIMB,1125,10000,280,CLIMB,1500,280,605.683
46,CLIMB,1150,10000,280,CLIMB,1500,280,603.945
47,CLIMB,1175,10000,280,CLIMB,1500,280,602.207
48,CLIMB,1200,10000,280,CLIMB,1500,280,600.469
49,CLIMB,1225,10000,280,CLIMB,1500,280,598.731
50,CLIMB,1250,10000,280,CLIMB,1500,280,596.993
51,CLIMB,1275,10000,280,CLIMB,1500,280,595.255
52,CLIMB,1300,10000,280,CLIMB,1500,280,593.518
53,CLIMB,1325,10000,280,CLIMB,1500,280,591.78
54,CLIMB,1350,10000,280,CLIMB,1500,280,590.042
55,CLIMB,1375,10000,280,CLIMB,1500,280,588.304
56,CLIMB,1400,10000,280,CLIMB,1500,280,586.566
57,CLIMB,1425,10000,280,CLIMB,1500,280,584.828
58,CLIMB,1450,10000,280,CLIMB,1500,280,583.09
59,CLIMB,1475,10000,280,CLIMB,1500,280,581.352
60,CLIMB,1500,10000,280,CLIMB,1500,280,579.614
61,CLIMB,1525,10000,280,CLIMB,1500,280,577.876
62,CLIMB,1550,10000,280,CLIMB,1500,280,576.138
63,CLIMB,1575,10000,280,CLIMB,1500,280,574.4
64,CLIMB,1600,10000,280,CLIMB,1500,280,572.662
65,CLIMB,1625,10000,280,CLIMB,1500,280,570.924
66,CLIMB,1650,10000,280,CLIMB,1500,280,569.186
67,CLIMB,1675,10000,280,CLIMB,1500,280,567.448
68,CLIMB,1700,10000,280,CLIMB,1500,280,565.71
69,CLIMB,1725,10000,280,CLIMB,1500,280,563.972
70,CLIMB,1750,10000,280,CLIMB,1500,280,562.234
71,CLIMB,1775,10000,280,CLIMB,1500,280,560.496
72,CLIMB,1800,10000,280,CLIMB,1500,280,558.759
73,CLIMB,1825,10000,280,CLIMB,1500,280,557.021
74,CLIMB,1850,10000,280,CLIMB,1500,280,555.283
75,CLIMB,1875,10000,280,CLIMB,1500,280,553.545
76,CLIMB,1900,10000,280,CLIMB,1500,280,551.807
77,CLIMB,1925,10000,280,CLIMB,1500,280,550.069
78,CLIMB,1950,10000,280,CLIMB,1500,280,548.331
79,CLIMB,1975,10000,280,CLIMB,1500,280,546.593
80,CLIMB,2000,10000,280,CLIMB,1500,280,544.855
81,CLIMB,2025,10000,280,CLIMB,1500,280,543.117
82,CLIMB,2050,10000,280,CLIMB,1500,280,541.379
83,CLIMB,2075,10000,280,CLIMB,1500,280,539.641
84,CLIMB,2100,10000,280,CLIMB,1500,280,537.903
85,CLIMB,2125,10000,280,CLIMB,1500,280,536.165
86,CLIMB,2150,10000,280,CLIMB,1500,280,534.427
87,CLIMB,2175,10000,280,CLIMB,1500,280,532.689
88,CLIMB,2200,10000,280,CLIMB,1500,280,530.951
89,CLIMB,2225,10000,280,CLIMB,1500,280,529.213
90,CLIMB,2250,10000,280,CLIMB,1500,280,527.475
91,CLIMB,2275,10000,280,CLIMB,1500,280,525.737
92,CLIMB,2300,10000,280,CLIMB,1500,280,523.999
93,CLIMB,2325,10000,280,CLIMB,1500,280,522.262
94,CLIMB,2350,10000,280,CLIMB,1500,280,520.524
95,CLIMB,2375,10000,280,CLIMB,1500,280,518.786
96,CLIMB,2400,10000,280,CLIMB,1500,280,517.048
97,CLIMB,2425,10000,280,CLIMB,1500,280,515.31
98,CLIMB,2450,10000,280,CLIMB,1500,280,513.572
99,CLIMB,2475,10000,280,CLIMB,1500,280,511.834
100,CLIMB,2500,10000,280,CLIMB,1500,280,510.096
101,CLIMB,2525,10000,280,CLIMB,1500,280,508.358
102,CLIMB,2550,10000,280,CLIMB,1500,280,506.62
103,CLIMB,2575,10000,280,CLIMB,1500,280,504.882
104,CLIMB,2600,10000,280,CLIMB,1500,280,503.144
105,CLIMB,2625,10000,280,CLIMB,1500,280,501.406
106,CLIMB,2650,10000,280,CLIMB,1500,280,499.668
107,CLIMB,2675,10000,280,CLIMB,1500,280,497.93
108,CLIMB,2700,10000,280,CLIMB,1500,280,496.192
109,CLIMB,2725,10000,280,CLIMB,1500,280,494.454
110,CLIMB,2750,10000,280,CLIMB,1500,280,492.716
111,CLIMB,2775,10000,280,CLIMB,1500,280,490.978
112,CLIMB,2800,10000,280,CLIMB,1500,280,489.24
113,CLIMB,2825,10000,280,CLIMB,1500,280,487.502
114,CLIMB,2850,10000,280,CLIMB,1500,280,485.765
115,CLIMB,2875,10000,280,CLIMB,1500,280,484.027
116,CLIMB,2900,10000,280,CLIMB,1500,280,482.289
117,CLIMB,2925,10000,280,CLIMB,1500,280,480.551
118,CLIMB,2950,10000,280,CLIMB,1500,280,478.813
119,CLIMB,2975,10000,280,CLIMB,1500,280,477.075
120,CLIMB,3000,10000,280,CLIMB,1500,280,475.337
121,CLIMB,3025,10000,280,CLIMB,1500,280,473.599
122,CLIMB,3050,10000,280,CLIMB,1500,280,471.861
123,CLIMB,3075,10000,280,CLIMB,1500,280,470.123
124,CLIMB,3100,10000,280,CLIMB,1500,280,468.385
125,CLIMB,3125,10000,280,CLIMB,1500,280,466.647
126,CLIMB,3150,10000,280,CLIMB,1500,280,464.909
127,CLIMB,3175,10000,280,CLIMB,1500,280,463.171
128,CLIMB,3200,10000,280,CLIMB,1500,280,461.433
129,CLIMB,3225,10000,280,CLIMB,1500,280,459.695
130,CLIMB,3250,10000,280,CLIMB,1500,280,457.957
131,CLIMB,3275,10000,280,CLIMB,1500,280,456.219
132,CLIMB,3300,10000,280,CLIMB,1500,280,454.481
133,CLIMB,3325,10000,280,CLIMB,1500,280,452.743
134,CLIMB,3350,10000,280,CLIMB,1500,280,451.006
135,CLIMB,3375,10000,280,CLIMB,1500,280,449.268
136,CLIMB,3400,10000,280,CLIMB,1500,280,447.53
137,CLIMB,3425,10000,280,CLIMB,1500,280,445.792
138,CLIMB,3450,10000,280,CLIMB,1500,280,444.054
139,CLIMB,3475,10000,280,CLIMB,1500,280,442.316
140,CLIMB,3500,10000,280,CLIMB,1500,280,440.578
141,CLIMB,3525,10000,280,CLIMB,1500,280,438.84
142,CLIMB,3550,10000,280,CLIMB,1500,280,437.102
143,CLIMB,3575,10000,280,CLIMB,1500,280,435.364
144,CLIMB,3600,10000,280,CLIMB,1500,280,433.626
145,CLIMB,3625,10000,280,CLIMB,1500,280,431.888
146,CLIMB,3650,10000,280,CLIMB,1500,280,430.15
147,CLIMB,3675,10000,280,CLIMB,1500,280,428.412
148,CLIMB,3700,10000,280,CLIMB,1500,280,426.674
149,CLIMB,3725,10000,280,CLIMB,1500,280,424.936
150,CLIMB,3750,10000,280,CLIMB,1500,280,423.198
151,CLIMB,3775,10000,280,CLIMB,1500,280,421.46
152,CLIMB,3800,10000,280,CLIMB,1500,280,419.722
153,CLIMB,3825,10000,280,CLIMB,1500,280,417.984
154,CLIMB,3850,10000,280,CLIMB,1500,280,416.246
155,CLIMB,3875,10000,280,CLIMB,1500,280,414.509
156,CLIMB,3900,10000,280,CLIMB,1500,280,412.771
157,CLIMB,3925,10000,280,CLIMB,1500,280,411.033
158,CLIMB,3950,10000,280,CLIMB,1500,280,409.295
159,CLIMB,3975,10000,280,CLIMB,1500,280,407.557
160,CLIMB,4000,10000,280,CLIMB,1500,280,405.819
161,CLIMB,4025,10000,280,CLIMB,1500,280,404.081
162,CLIMB,4050,10000,280,CLIMB,1500,280,402.343
163,CLIMB,4075,10000,280,CLIMB,1500,280,400.605
164,CLIMB,4100,10000,280,CLIMB,1500,280,398.867
165,CLIMB,4125,10000,280,CLIMB,1500,280,397.129
166,CLIMB,4150,10000,280,CLIMB,1500,280,395.391
167,CLIMB,4175,10000,280,CLIMB,1500,280,393.653
168,CLIMB,4200,10000,280,CLIMB,1500,280,391.915
169,CLIMB,4225,10000,280,CLIMB,1500,280,390.177
170,CLIMB,4250,10000,280,CLIMB,1500,280,388.439
171,CLIMB,4275,10000,280,CLIMB,1500,280,386.701
172,CLIMB,4300,10000,280,CLIMB,1500,280,384.963
173,CLIMB,4325,10000,280,CLIMB,1500,280,383.225
174,CLIMB,4350,10000,280,CLIMB,1500,280,381.487
175,CLIMB,4375,10000,280,CLIMB,1500,280,379.749
176,CLIMB,4400,10000,280,CLIMB,1500,280,378.012
177,CLIMB,4425,10000,280,CLIMB,1500,280,376.274
178,CLIMB,4450,10000,280,CLIMB,1500,280,374.536
179,CLIMB,4475,10000,280,CLIMB,1500,280,372.798
180,CLIMB,4500,10000,280,CLIMB,1500,280,371.06
181,CLIMB,4525,10000,280,CLIMB,1500,280,369.322
182,CLIMB,4550,10000,280,CLIMB,1500,280,367.584
183,CLIMB,4575,10000,280,CLIMB,1500,280,365.846
184,CLIMB,4600,10000,280,CLIMB,1500,280,364.108
185,CLIMB,4625,10000,280,CLIMB,1500,280,362.37
186,CLIMB,4650,10000,280,CLIMB,1500,280,360.632
187,CLIMB,4675,10000,280,CLIMB,1500,280,358.894
188,CLIMB,4700,10000,280,CLIMB,1500,280,357.156
189,CLIMB,4725,10000,280,CLIMB,1500,280,355.418
190,CLIMB,4750,10000,280,CLIMB,1500,280,353.68
191,CLIMB,4775,10000,280,CLIMB,1500,280,351.942
192,CLIMB,4800,10000,280,CLIMB,1500,280,350.204
193,CLIMB,4825,10000,280,CLIMB,1500,280,348.466
194,CLIMB,4850,10000,280,CLIMB,1500,280,346.728
195,CLIMB,4875,10000,280,CLIMB,1500,280,344.99
196,CLIMB,4900,10000,280,CLIMB,1500,280,343.252
197,CLIMB,4925,10000,280,CLIMB,1500,280,341.515
198,CLIMB,4950,10000,280,CLIMB,1500,280,339.777
199,CLIMB,4975,10000,280,CLIMB,1500,280,338.039
200,CLIMB,5000,10000,280,CLIMB,1500,280,336.301
201,CLIMB,5025,10000,280,CLIMB,1500,280,334.563
202,CLIMB,5050,10000,280,CLIMB,1500,280,332.825
203,CLIMB,5075,10000,280,CLIMB,1500,280,331.087
204,CLIMB,5100,10000,280,CLIMB,1500,280,329.349
205,CLIMB,5125,10000,280,CLIMB,1500,280,327.611
206,CLIMB,5150,10000,280,CLIMB,1500,280,325.873
207,CLIMB,5175,10000,280,CLIMB,1500,280,324.135
208,CLIMB,5200,10000,280,CLIMB,1500,280,322.397
209,CLIMB,5225,10000,280,CLIMB,1500,280,320.659
210,CLIMB,5250,10000,280,CLIMB,1500,280,318.921
211,CLIMB,5275,10000,280,CLIMB,1500,280,317.183
212,CLIMB,5300,10000,280,CLIMB,1500,280,315.445
213,CLIMB,5325,10000,280,CLIMB,1500,280,313.707
214,CLIMB,5350,10000,280,CLIMB,1500,280,311.969
215,CLIMB,5375,10000,280,CLIMB,1500,280,310.231
216,CLIMB,5400,10000,280,CLIMB,1500,280,308.493
217,CLIMB,5425,10000,280,CLIMB,1500,280,306.756
218,CLIMB,5450,10000,280,CLIMB,1500,280,305.018
219,CLIMB,5475,10000,280,CLIMB,1500,280,303.28
220,CLIMB,5500,10000,280,CLIMB,1500,280,301.542
221,CLIMB,5525,10000,280,CLIMB,1500,280,299.804
222,CLIMB,5550,10000,280,CLIMB,1500,280,298.066
223,CLIMB,5575,10000,280,CLIMB,1500,280,296.328
224,CLIMB,5600,10000,280,CLIMB,1500,280,294.59
225,CLIMB,5625,10000,280,CLIMB,1500,280,292.852
226,CLIMB,5650,10000,280,CLIMB,1500,280,291.114
227,CLIMB,5675,10000,280,CLIMB,1500,280,289.376
228,CLIMB,5700,10000,280,CLIMB,1500,280,287.638
229,CLIMB,5725,10000,280,CLIMB,1500,280,285.9
230,CLIMB,5750,10000,280,CLIMB,1500,280,284.162
231,CLIMB,5775,10000,280,CLIMB,1500,280,282.424
232,CLIMB,5800,10000,280,CLIMB,1500,280,280.686
233,CLIMB,5825,10000,280,CLIMB,1500,280,278.948
234,CLIMB,5850,10000,280,CLIMB,1500,280,277.21
235,CLIMB,5875,10000,280,CLIMB,1500,280,275.472
236,CLIMB,5900,10000,280,CLIMB,1500,280,273.734
237,CLIMB,5925,10000,280,CLIMB,1500,280,271.996
238,CLIMB,5950,10000,280,CLIMB,1500,280,270.259
239,CLIMB,5975,10000,280,CLIMB,1500,280,268.521
240,CLIMB,6000,10000,280,CLIMB,1500,280,266.783
241,CLIMB,6025,10000,280,CLIMB,1500,280,265.045
242,CLIMB,6050,10000,280,CLIMB,1500,280,263.307
243,CLIMB,6075,10000,280,CLIMB,1500,280,261.569
244,CLIMB,6100,10000,280,CLIMB,1500,280,259.831
245,CLIMB,6125,10000,280,CLIMB,1500,280,258.093
246,CLIMB,6150,10000,280,CLIMB,1500,280,256.355
247,CLIMB,6175,10000,280,CLIMB,1500,280,254.617
248,CLIMB,6200,10000,280,CLIMB,1500,280,252.879
249,CLIMB,6225,10000,280,CLIMB,1500,280,251.141
250,CLIMB,6250,10000,280,CLIMB,1500,280,249.403
251,CLIMB,6275,10000,280,CLIMB,1500,280,247.665
252,CLIMB,6300,10000,280,CLIMB,1500,280,245.927
253,CLIMB,6325,10000,280,CLIMB,1500,280,244.189
254,CLIMB,6350,10000,280,CLIMB,1500,280,242.451
255,CLIMB,6375,10000,280,CLIMB,1500,280,240.713
256,CLIMB,6400,10000,280,CLIMB,1500,280,238.975
257,CLIMB,6425,10000,280,CLIMB,1500,280,237.237
258,CLIMB,6450,10000,280,CLIMB,1500,280,235.499
259,CLIMB,6475,10000,280,CLIMB,1500,280,233.762
260,CLIMB,6500,10000,280,CLIMB,1500,280,232.024
261,CLIMB,6525,10000,280,CLIMB,1500,280,230.286
262,CLIMB,6550,10000,280,CLIMB,1500,280,228.548
263,CLIMB,6575,10000,280,CLIMB,1500,280,226.81
264,CLIMB,6600,10000,280,CLIMB,1500,280,225.072
265,CLIMB,6625,10000,280,CLIMB,1500,280,223.334
266,CLIMB,6650,10000,280,CLIMB,1500,280,221.596
267,CLIMB,6675,10000,280,CLIMB,1500,280,219.858
268,CLIMB,6700,10000,280,CLIMB,1500,280,218.12
269,CLIMB,6725,10000,280,CLIMB,1500,280,216.382
270,CLIMB,6750,10000,280,CLIMB,1500,280,214.644
271,CLIMB,6775,10000,280,CLIMB,1500,280,212.906
272,CLIMB,6800,10000,280,CLIMB,1500,280,211.168
273,CLIMB,6825,10000,280,CLIMB,1500,280,209.43
274,CLIMB,6850,10000,280,CLIMB,1500,280,207.692
